Object No;Longitude;Latitude
20936;106.866456;-6.15999
20937;106.866409;-6.159957
20938;106.866345;-6.159921
20939;106.866279;-6.159901
20940;106.866197;-6.159853
20941;106.866135;-6.159828
20942;106.866075;-6.15979
20943;106.866016;-6.159774
20944;106.865946;-6.15974
20945;106.865657;-6.160026
20946;106.865498;-6.16019
20947;106.865454;-6.160254
20948;106.865648;-6.160238
20949;106.86562;-6.160109
20950;106.865675;-6.160136
20951;106.8656;-6.160153
20952;106.865703;-6.160151
20953;106.865671;-6.160344
20954;106.865756;-6.16018
20955;106.86583;-6.160214
20956;106.865976;-6.160189
20957;106.854535;-6.175854
20958;106.854598;-6.175961
20959;106.854634;-6.175958
20960;106.865919;-6.160306
20961;106.865858;-6.16044
20962;106.854677;-6.175922
20963;106.854658;-6.175838
20964;106.865997;-6.160333
20965;106.854673;-6.175957
20966;106.866032;-6.160354
20967;106.854599;-6.176016
20968;106.866074;-6.160382
20969;106.854631;-6.17605
20970;106.854598;-6.176057
20971;106.854598;-6.176084
20972;106.854594;-6.176178
20973;106.854669;-6.176174
20974;106.854708;-6.176058
20975;106.854807;-6.176084
20976;106.85472;-6.176169
20977;106.863652;-6.156205
20978;106.863667;-6.156247
20979;106.863661;-6.156314
20980;106.863627;-6.156342
20981;106.863578;-6.156311
20982;106.863599;-6.156379
20983;106.863668;-6.156438
20984;106.863558;-6.15635
20985;106.85472;-6.176032
20986;106.854736;-6.175978
20987;106.863535;-6.156398
20988;106.854765;-6.175938
20989;106.854768;-6.175889
20990;106.863517;-6.15643
20991;106.85474;-6.175813
20992;106.863503;-6.156469
20993;106.865368;-6.160412
20994;106.865337;-6.160478
20995;106.863556;-6.156554
20996;106.854545;-6.17618
20997;106.865302;-6.16052
20998;106.854545;-6.176244
20999;106.865262;-6.160604
21000;106.863607;-6.156565
21001;106.865238;-6.160652
21002;106.865213;-6.160717
21003;106.854596;-6.176302
21004;106.863526;-6.15654
21005;106.865262;-6.160732
21006;106.865305;-6.160745
21007;106.854717;-6.17629
21008;106.863508;-6.156586
21009;106.865293;-6.160781
21010;106.854773;-6.176216
21011;106.85478;-6.176277
21012;106.86346;-6.156557
21013;106.854664;-6.176295
21014;106.865433;-6.160653
21015;106.854552;-6.176313
21016;106.863434;-6.156595
21017;106.863551;-6.156667
21018;106.863416;-6.156627
21019;106.863425;-6.156778
21020;106.865602;-6.160606
21021;106.865439;-6.160475
21022;106.865501;-6.160513
21023;106.863703;-6.156378
21024;106.865571;-6.160545
21025;106.865693;-6.16048
21026;106.863056;-6.156685
21027;106.863084;-6.156705
21028;106.863108;-6.156722
21029;106.863137;-6.15675
21030;106.86317;-6.156762
21031;106.863197;-6.156777
21032;106.863025;-6.156747
21033;106.863115;-6.156867
21034;106.863181;-6.156817
21035;106.863219;-6.156838
21036;106.863317;-6.156828
21037;106.863043;-6.155963
21038;106.863121;-6.156041
21039;106.863279;-6.156011
21040;106.863205;-6.15591
21041;106.862612;-6.156658
21042;106.862597;-6.156705
21043;106.86264;-6.156758
21044;106.862665;-6.156775
21045;106.862698;-6.156789
21046;106.862741;-6.156815
21047;106.862529;-6.156774
21048;106.862522;-6.156855
21049;106.862564;-6.156877
21050;106.862597;-6.156894
21051;106.862631;-6.156909
21052;106.862711;-6.156863
21053;106.86267;-6.156929
21054;106.865876;-6.160529
21055;106.865827;-6.1605
21056;106.862709;-6.156945
21057;106.865765;-6.160464
21058;106.862762;-6.15697
21059;106.862821;-6.156991
21060;106.862828;-6.156877
21061;106.86287;-6.156794
21062;106.862905;-6.15681
21063;106.861661;-6.192301
21064;106.862483;-6.156886
21065;106.861978;-6.192086
21066;106.862458;-6.156927
21067;106.861382;-6.192231
21068;106.86144;-6.192222
21069;106.862418;-6.156953
21070;106.861441;-6.192262
21071;106.862402;-6.15699
21072;106.86138;-6.192274
21073;106.861454;-6.192335
21074;106.862427;-6.157077
21075;106.86252;-6.157047
21076;106.861533;-6.192414
21077;106.861576;-6.192405
21078;106.862483;-6.15711
21079;106.861635;-6.192386
21080;106.862522;-6.157133
21081;106.861561;-6.19233
21082;106.8626;-6.157075
21083;106.861562;-6.192256
21084;106.862555;-6.156925
21085;106.861563;-6.192181
21086;106.862628;-6.156951
21087;106.861476;-6.192598
21088;106.862663;-6.156966
21089;106.861551;-6.192539
21090;106.861545;-6.192497
21091;106.862711;-6.156987
21092;106.862738;-6.156999
21093;106.861528;-6.192586
21094;106.862781;-6.157094
21095;106.861715;-6.192654
21096;106.866102;-6.160469
21097;106.866181;-6.1605
21098;106.866135;-6.160405
21099;106.862563;-6.157151
21100;106.866213;-6.160436
21101;106.862584;-6.157167
21102;106.862632;-6.157198
21103;106.865623;-6.160992
21104;106.862974;-6.156861
21105;106.865801;-6.161066
21106;106.865859;-6.160964
21107;106.862934;-6.156937
21108;106.86608;-6.161033
21109;106.863005;-6.156967
21110;106.866176;-6.161081
21111;106.866235;-6.161108
21112;106.86622;-6.16105
21113;106.866257;-6.160989
21114;106.866292;-6.16092
21115;106.866322;-6.160857
21116;106.866404;-6.16077
21117;106.866243;-6.160526
21118;106.86629;-6.16055
21119;106.86637;-6.160601
21120;106.865872;-6.16013
21121;106.866099;-6.160246
21122;106.866139;-6.160269
21123;106.866228;-6.160294
21124;106.866273;-6.160312
21125;106.866336;-6.160349
21126;106.866399;-6.160381
21127;106.854804;-6.175973
21128;106.854838;-6.17593
21129;106.854894;-6.175926
21130;106.865116;-6.160884
21131;106.865182;-6.16092
21132;106.865091;-6.16096
21133;106.854815;-6.175802
21134;106.865328;-6.160905
21135;106.854878;-6.175797
21136;106.865288;-6.161012
21137;106.865305;-6.160966
21138;106.854886;-6.176018
21139;106.865366;-6.160989
21140;106.855;-6.175966
21141;106.86545;-6.160957
21142;106.855059;-6.175929
21143;106.861665;-6.192919
21144;106.85506;-6.1759
21145;106.861726;-6.192915
21146;106.855052;-6.175828
21147;106.85505;-6.175788
21148;106.861596;-6.19295
21149;106.855118;-6.175917
21150;106.861627;-6.193057
21151;106.855063;-6.175989
21152;106.861657;-6.193179
21153;106.855064;-6.176032
21154;106.854945;-6.176034
21155;106.861742;-6.193561
21156;106.85491;-6.176037
21157;106.861814;-6.193367
21158;106.85491;-6.176084
21159;106.854841;-6.176025
21160;106.854845;-6.176066
21161;106.854845;-6.1761
21162;106.85481;-6.176148
21163;106.854823;-6.176178
21164;106.865493;-6.160978
21165;106.854826;-6.176212
21166;106.865317;-6.161093
21167;106.865367;-6.161118
21168;106.86542;-6.161144
21169;106.865498;-6.161069
21170;106.854795;-6.176362
21171;106.865459;-6.161154
21172;106.85463;-6.176377
21173;106.865635;-6.161072
21174;106.854566;-6.176442
21175;106.865651;-6.161046
21176;106.865693;-6.161064
21177;106.865691;-6.161205
21178;106.86585;-6.161116
21179;106.86591;-6.161132
21180;106.865933;-6.161239
21181;106.865909;-6.161296
21182;106.866123;-6.161262
21183;106.861989;-6.193483
21184;106.866095;-6.161323
21185;106.862086;-6.193426
21186;106.862214;-6.193406
21187;106.862293;-6.193377
21188;106.862088;-6.193309
21189;106.861959;-6.193215
21190;106.861895;-6.193227
21191;106.861817;-6.193182
21192;106.861951;-6.193158
21193;106.866059;-6.161404
21194;106.861935;-6.193099
21195;106.861968;-6.193087
21196;106.861911;-6.192997
21197;106.867757;-6.158284
21198;106.862096;-6.19327
21199;106.867731;-6.158354
21200;106.862144;-6.193162
21201;106.862151;-6.193267
21202;106.862218;-6.193259
21203;106.86221;-6.193103
21204;106.862269;-6.193257
21205;106.862379;-6.19333
21206;106.862391;-6.193222
21207;106.862382;-6.193147
21208;106.862368;-6.193027
21209;106.867844;-6.158324
21210;106.867813;-6.15839
21211;106.861977;-6.193115
21212;106.862082;-6.193102
21213;106.862089;-6.193023
21214;106.862043;-6.193027
21215;106.86203;-6.192939
21216;106.862139;-6.193029
21217;106.86222;-6.192993
21218;106.862367;-6.192982
21219;106.862223;-6.192965
21220;106.862274;-6.192875
21221;106.862194;-6.192882
21222;106.862345;-6.19287
21223;106.862335;-6.192822
21224;106.862223;-6.192844
21225;106.862113;-6.192851
21226;106.862103;-6.192801
21227;106.86188;-6.192637
21228;106.861964;-6.192629
21229;106.862058;-6.19262
21230;106.862115;-6.192451
21231;106.867892;-6.158354
21232;106.862253;-6.192602
21233;106.867916;-6.158288
21234;106.862251;-6.192482
21235;106.868034;-6.158376
21236;106.862163;-6.19245
21237;106.86216;-6.192277
21238;106.862162;-6.192178
21239;106.861895;-6.192275
21240;106.861944;-6.19245
21241;106.861924;-6.192141
21242;106.862433;-6.192871
21243;106.862492;-6.192881
21244;106.862479;-6.192771
21245;106.862433;-6.192823
21246;106.862433;-6.19277
21247;106.862352;-6.192775
21248;106.862404;-6.192655
21249;106.862471;-6.192719
21250;106.862459;-6.192649
21251;106.86232;-6.192622
21252;106.862323;-6.192522
21253;106.862392;-6.192455
21254;106.862392;-6.192406
21255;106.8624;-6.192622
21256;106.868125;-6.1584
21257;106.868183;-6.158414
21258;106.862532;-6.192611
21259;106.868256;-6.15844
21260;106.862612;-6.192621
21261;106.86834;-6.158477
21262;106.862662;-6.192626
21263;106.868406;-6.158513
21264;106.862518;-6.192529
21265;106.868451;-6.15854
21266;106.862565;-6.192414
21267;106.868525;-6.158582
21268;106.868583;-6.158608
21269;106.862522;-6.192413
21270;106.868627;-6.158636
21271;106.862553;-6.19235
21272;106.868678;-6.158668
21273;106.868728;-6.158693
21274;106.862434;-6.192338
21275;106.868776;-6.158717
21276;106.862438;-6.192263
21277;106.868883;-6.158792
21278;106.862521;-6.192849
21279;106.862551;-6.192907
21280;106.862634;-6.193015
21281;106.862624;-6.192969
21282;106.862624;-6.192935
21283;106.862581;-6.192855
21284;106.862601;-6.192809
21285;106.868992;-6.158848
21286;106.862611;-6.192762
21287;106.862568;-6.19273
21288;106.862526;-6.192689
21289;106.867684;-6.15852
21290;106.862686;-6.19297
21291;106.862757;-6.192957
21292;106.867751;-6.15855
21293;106.867714;-6.158622
21294;106.862823;-6.193118
21295;106.862835;-6.192887
21296;106.862833;-6.192814
21297;106.86269;-6.19293
21298;106.867631;-6.158668
21299;106.867916;-6.158709
21300;106.867975;-6.158546
21301;106.867855;-6.158833
21302;106.86808;-6.158789
21303;106.868111;-6.158873
21304;106.868211;-6.158918
21305;106.868269;-6.158945
21306;106.868335;-6.158981
21307;106.868418;-6.159018
21308;106.868514;-6.159062
21309;106.868579;-6.159102
21310;106.862876;-6.193098
21311;106.868631;-6.159125
21312;106.862925;-6.193042
21313;106.86875;-6.159188
21314;106.862923;-6.193002
21315;106.862921;-6.192957
21316;106.868889;-6.159236
21317;106.862915;-6.192918
21318;106.868949;-6.159262
21319;106.868993;-6.159365
21320;106.86918;-6.159385
21321;106.86914;-6.159462
21322;106.869189;-6.15948
21323;106.86924;-6.159508
21324;106.8549;-6.176204
21325;106.869103;-6.158945
21326;106.86921;-6.159009
21327;106.854956;-6.176194
21328;106.869271;-6.159036
21329;106.854997;-6.176198
21330;106.869323;-6.159057
21331;106.855034;-6.176193
21332;106.869366;-6.159077
21333;106.855075;-6.17611
21334;106.869432;-6.159116
21335;106.855089;-6.17618
21336;106.855099;-6.176224
21337;106.855069;-6.176269
